minute	BlindedCellType	Viafluo	Fluo4_spot1	Fluo4_spot2	Fluo4_spot3	B_actin_spot1	B_actin_spot2	B_actin_spot3	CONTROL_Viafluo	CONTROL_Fluo_4_spot1	CONTROL_Fluo_4_spot2	CONTROL_Fluo_4_spot3	CONTROL_B_actin_spot1	CONTROL_B_actin_spot2	CONTROL_B_actin_spot3
1.0000	5.0000	-19.6494	8.2384	6.4239	6.3294	n/a	n/a	n/a	-8.7078	8.5811	6.9481	6.3217	n/a	n/a	n/a
2.0000	5.0000	-51.0333	11.6367	8.7603	9.9427	n/a	n/a	n/a	-9.7009	13.6656	10.8296	8.3833	n/a	n/a	n/a
3.0000	5.0000	-38.7030	15.1755	11.8418	12.2929	n/a	n/a	n/a	-14.6968	19.6145	14.6749	10.8090	n/a	n/a	n/a
4.0000	5.0000	-39.6178	19.7501	17.3116	14.8186	n/a	n/a	n/a	-16.1302	23.3548	16.1712	14.1075	n/a	n/a	n/a
5.0000	5.0000	-33.0861	22.1330	17.6100	18.3137	n/a	n/a	n/a	-17.8779	26.8261	17.2132	16.4655	n/a	n/a	n/a
6.0000	5.0000	-37.6275	25.7418	23.1785	20.0329	n/a	n/a	n/a	-21.6205	32.1327	18.3068	21.2024	n/a	n/a	n/a
7.0000	5.0000	-45.9470	29.3074	25.3685	22.8217	n/a	n/a	n/a	-26.2522	32.6208	18.0550	20.2011	n/a	n/a	n/a
8.0000	5.0000	-50.9099	34.0702	28.6553	27.6222	n/a	n/a	n/a	-28.4478	38.2120	23.1171	19.1153	n/a	n/a	n/a
9.0000	5.0000	-44.1713	37.2699	31.8232	29.3171	n/a	n/a	n/a	-31.1351	41.0126	22.4372	22.0849	n/a	n/a	n/a
10.0000	5.0000	-33.8765	40.4520	32.0440	27.6609	n/a	n/a	n/a	-34.2037	41.8080	24.4038	19.2263	n/a	n/a	n/a
11.0000	5.0000	-50.4485	42.9178	33.6168	31.9267	n/a	n/a	n/a	-37.0524	44.3126	22.7901	21.3927	n/a	n/a	n/a
12.0000	5.0000	-42.6320	45.3611	33.9646	30.7027	n/a	n/a	n/a	-40.1677	43.4477	20.1088	20.1101	n/a	n/a	n/a
13.0000	5.0000	-32.4423	46.7196	34.4453	29.3131	n/a	n/a	n/a	-44.0500	43.0958	19.1245	20.7665	n/a	n/a	n/a
14.0000	5.0000	-44.9302	51.4076	32.0795	31.3948	n/a	n/a	n/a	-46.6434	47.4414	20.7049	20.2675	n/a	n/a	n/a
15.0000	5.0000	-81.1979	52.3441	30.8842	34.0870	n/a	n/a	n/a	-50.2037	44.9687	20.3540	19.5397	n/a	n/a	n/a
