minute	BlindedCellType	Viafluo	Fluo4_spot1	Fluo4_spot2	Fluo4_spot3	B_actin_spot1	B_actin_spot2	B_actin_spot3	CONTROL_Viafluo	CONTROL_Fluo_4_spot1	CONTROL_Fluo_4_spot2	CONTROL_Fluo_4_spot3	CONTROL_B_actin_spot1	CONTROL_B_actin_spot2	CONTROL_B_actin_spot3
1.0000	5.0000	-11.2535	4.7490	3.2708	1.5895	n/a	n/a	n/a	-2.5671	8.5811	6.9481	6.3217	n/a	n/a	n/a
2.0000	5.0000	-13.7819	6.9155	7.4449	4.2502	n/a	n/a	n/a	-3.6186	13.6656	10.8296	8.3833	n/a	n/a	n/a
3.0000	5.0000	-14.0542	11.9082	9.4138	4.9397	n/a	n/a	n/a	-5.6250	19.6145	14.6749	10.8090	n/a	n/a	n/a
4.0000	5.0000	-17.5521	15.6710	10.1744	8.8043	n/a	n/a	n/a	-7.4273	23.3548	16.1712	14.1075	n/a	n/a	n/a
5.0000	5.0000	-28.3607	16.5159	15.5383	12.9753	n/a	n/a	n/a	-10.2991	26.8261	17.2132	16.4655	n/a	n/a	n/a
6.0000	5.0000	-18.5467	18.9418	17.9048	13.1854	n/a	n/a	n/a	-12.8936	32.1327	18.3068	21.2024	n/a	n/a	n/a
7.0000	5.0000	-25.5174	21.2419	18.3859	16.1284	n/a	n/a	n/a	-15.4728	32.6208	18.0550	20.2011	n/a	n/a	n/a
8.0000	5.0000	-35.8786	22.1498	20.1697	18.4196	n/a	n/a	n/a	-18.2931	38.2120	23.1171	19.1153	n/a	n/a	n/a
9.0000	5.0000	-46.8887	27.1831	19.6226	19.7894	n/a	n/a	n/a	-21.1656	41.0126	22.4372	22.0849	n/a	n/a	n/a
10.0000	5.0000	-42.6381	27.1833	23.5260	20.6229	n/a	n/a	n/a	-24.4983	41.8080	24.4038	19.2263	n/a	n/a	n/a
11.0000	5.0000	-40.3336	31.5977	24.2479	23.1099	n/a	n/a	n/a	-27.8441	44.3126	22.7901	21.3927	n/a	n/a	n/a
12.0000	5.0000	-50.1389	34.5659	24.6056	27.1780	n/a	n/a	n/a	-30.9789	43.4477	20.1088	20.1101	n/a	n/a	n/a
13.0000	5.0000	-53.3138	35.9549	25.9369	32.0540	n/a	n/a	n/a	-33.8862	43.0958	19.1245	20.7665	n/a	n/a	n/a
14.0000	5.0000	-66.0423	38.4454	27.5841	36.6474	n/a	n/a	n/a	-37.0377	47.4414	20.7049	20.2675	n/a	n/a	n/a
15.0000	5.0000	-69.1810	42.9894	30.2833	39.7002	n/a	n/a	n/a	-40.1756	44.9687	20.3540	19.5397	n/a	n/a	n/a
