minute	BlindedCellType	Viafluo	Fluo4_spot1	Fluo4_spot2	Fluo4_spot3	B_actin_spot1	B_actin_spot2	B_actin_spot3	CONTROL_Viafluo	CONTROL_Fluo_4_spot1	CONTROL_Fluo_4_spot2	CONTROL_Fluo_4_spot3	CONTROL_B_actin_spot1	CONTROL_B_actin_spot2	CONTROL_B_actin_spot3
1.0000	5.0000	-1.9906	3.0971	1.1161	0.7598	n/a	n/a	n/a	1.0077	5.8620	1.1032	2.7518	n/a	n/a	n/a
2.0000	5.0000	-2.6761	6.2489	-0.1110	0.4638	n/a	n/a	n/a	0.2638	8.3947	2.5284	5.5808	n/a	n/a	n/a
3.0000	5.0000	-3.4944	8.4139	2.5710	1.8320	n/a	n/a	n/a	-0.2894	13.6344	4.2835	9.0002	n/a	n/a	n/a
4.0000	5.0000	-4.3303	9.4580	3.4429	5.2020	n/a	n/a	n/a	-0.9832	12.8437	9.7295	10.3281	n/a	n/a	n/a
5.0000	5.0000	-5.1268	11.2849	1.7218	5.2969	n/a	n/a	n/a	-2.4388	19.5964	9.4122	10.6280	n/a	n/a	n/a
6.0000	5.0000	-5.9624	13.3491	3.4922	5.8563	n/a	n/a	n/a	-2.7747	21.6406	11.8168	13.8258	n/a	n/a	n/a
7.0000	5.0000	-6.6164	16.0605	0.3181	7.4096	n/a	n/a	n/a	-3.4419	23.4384	9.4504	9.4172	n/a	n/a	n/a
8.0000	5.0000	-6.9313	14.3575	4.9761	9.4645	n/a	n/a	n/a	-3.8715	23.0136	9.5779	15.4998	n/a	n/a	n/a
9.0000	5.0000	-7.5446	17.0761	7.1051	8.4098	n/a	n/a	n/a	-4.5580	24.2413	8.5948	13.6464	n/a	n/a	n/a
10.0000	5.0000	-8.5569	19.8612	7.9304	10.8417	n/a	n/a	n/a	-5.2244	27.4382	13.7837	11.9350	n/a	n/a	n/a
11.0000	5.0000	-9.0289	19.9172	10.3998	6.4225	n/a	n/a	n/a	-5.6948	28.5117	9.3236	14.6158	n/a	n/a	n/a
12.0000	5.0000	-9.3779	21.0823	7.0831	7.9149	n/a	n/a	n/a	-5.7957	24.8266	9.8853	11.7091	n/a	n/a	n/a
13.0000	5.0000	-10.1213	17.6686	9.5586	7.5161	n/a	n/a	n/a	-6.4295	26.3076	10.3484	14.1313	n/a	n/a	n/a
14.0000	5.0000	-10.5043	22.8333	11.0247	8.6193	n/a	n/a	n/a	-6.6272	27.6946	11.1535	10.4720	n/a	n/a	n/a
15.0000	5.0000	-10.9229	20.5392	11.1363	9.5519	n/a	n/a	n/a	-7.1436	23.3730	12.3373	15.3527	n/a	n/a	n/a
