minute	BlindedCellType	Viafluo	Fluo4_spot1	Fluo4_spot2	Fluo4_spot3	B_actin_spot1	B_actin_spot2	B_actin_spot3	CONTROL_Viafluo	CONTROL_Fluo_4_spot1	CONTROL_Fluo_4_spot2	CONTROL_Fluo_4_spot3	CONTROL_B_actin_spot1	CONTROL_B_actin_spot2	CONTROL_B_actin_spot3
1.0000	5.0000	-2.3991	n/a	n/a	n/a	17.5416	17.3474	16.9885	-2.7039	n/a	n/a	n/a	15.0353	20.9033	15.3005
2.0000	5.0000	-3.3677	n/a	n/a	n/a	28.2807	27.8513	26.3191	-4.3231	n/a	n/a	n/a	14.1933	27.0966	19.5496
3.0000	5.0000	-4.0607	n/a	n/a	n/a	35.4624	33.6307	34.7744	-6.2652	n/a	n/a	n/a	8.8917	138.9025	136.0369
4.0000	5.0000	-5.3514	n/a	n/a	n/a	40.1614	39.2142	38.6466	-8.4097	n/a	n/a	n/a	25.5059	37.6039	31.9392
5.0000	5.0000	-6.5400	n/a	n/a	n/a	41.3620	45.8832	40.7036	-10.4509	n/a	n/a	n/a	35.1271	36.5147	34.6467
6.0000	5.0000	-8.3448	n/a	n/a	n/a	35.0415	37.4894	37.0629	-12.9469	n/a	n/a	n/a	32.4971	42.3913	37.1118
7.0000	5.0000	-9.9763	n/a	n/a	n/a	47.0097	46.4422	45.2223	-15.3538	n/a	n/a	n/a	37.5929	39.5277	39.9407
8.0000	5.0000	-12.2276	n/a	n/a	n/a	49.7815	49.1344	49.5245	-18.3320	n/a	n/a	n/a	37.1202	47.0469	37.8533
9.0000	5.0000	-13.9988	n/a	n/a	n/a	49.3081	61.1909	56.8785	-21.1767	n/a	n/a	n/a	37.2123	54.1527	40.6389
10.0000	5.0000	-16.1131	n/a	n/a	n/a	59.5770	63.6892	55.1917	-24.1453	n/a	n/a	n/a	39.9911	60.5259	38.7617
11.0000	5.0000	-18.1893	n/a	n/a	n/a	63.7209	62.9667	57.0562	-27.1646	n/a	n/a	n/a	47.6990	47.9225	43.2857
12.0000	5.0000	-20.4767	n/a	n/a	n/a	65.8649	66.7428	62.9769	-30.2713	n/a	n/a	n/a	45.1505	53.7419	47.2557
13.0000	5.0000	-22.9812	n/a	n/a	n/a	67.1873	64.3750	61.4060	-33.2153	n/a	n/a	n/a	49.5417	62.2432	47.3271
14.0000	5.0000	-25.1327	n/a	n/a	n/a	69.1981	69.6705	63.4688	-36.0202	n/a	n/a	n/a	47.3269	61.4475	50.6334
15.0000	5.0000	-27.6800	n/a	n/a	n/a	69.0757	72.0139	63.2846	-39.0433	n/a	n/a	n/a	48.1149	65.9873	49.2816
