minute	BlindedCellType	Viafluo	Fluo4_spot1	Fluo4_spot2	Fluo4_spot3	B_actin_spot1	B_actin_spot2	B_actin_spot3	CONTROL_Viafluo	CONTROL_Fluo_4_spot1	CONTROL_Fluo_4_spot2	CONTROL_Fluo_4_spot3	CONTROL_B_actin_spot1	CONTROL_B_actin_spot2	CONTROL_B_actin_spot3
1.0000	5.0000	-2.8242	3.8909	4.3186	0.7078	n/a	n/a	n/a	-1.5975	5.8620	1.1032	2.7518	n/a	n/a	n/a
2.0000	5.0000	-4.3190	7.4926	3.3411	-1.0427	n/a	n/a	n/a	-2.7586	8.3947	2.5284	5.5808	n/a	n/a	n/a
3.0000	5.0000	-5.5771	7.9591	6.2321	1.4884	n/a	n/a	n/a	-4.3672	13.6344	4.2835	9.0002	n/a	n/a	n/a
4.0000	5.0000	-6.4209	9.1165	6.0470	1.7551	n/a	n/a	n/a	-5.0163	12.8437	9.7295	10.3281	n/a	n/a	n/a
5.0000	5.0000	-7.1423	11.1744	5.8460	0.7960	n/a	n/a	n/a	-5.8874	19.5964	9.4122	10.6280	n/a	n/a	n/a
6.0000	5.0000	-8.7740	13.9804	5.3804	1.4097	n/a	n/a	n/a	-6.9921	21.6406	11.8168	13.8258	n/a	n/a	n/a
7.0000	5.0000	-9.7014	16.2916	5.2129	1.6919	n/a	n/a	n/a	-8.0228	23.4384	9.4504	9.4172	n/a	n/a	n/a
8.0000	5.0000	-10.8006	15.4197	5.8656	3.9412	n/a	n/a	n/a	-9.2433	23.0136	9.5779	15.4998	n/a	n/a	n/a
9.0000	5.0000	-11.7452	14.8847	5.1217	4.8024	n/a	n/a	n/a	-10.6084	24.2413	8.5948	13.6464	n/a	n/a	n/a
10.0000	5.0000	-13.1338	13.1283	3.7267	6.5516	n/a	n/a	n/a	-11.3325	27.4382	13.7837	11.9350	n/a	n/a	n/a
11.0000	5.0000	-14.0488	17.9548	6.7243	5.7266	n/a	n/a	n/a	-12.8005	28.5117	9.3236	14.6158	n/a	n/a	n/a
12.0000	5.0000	-15.3561	12.1728	5.1361	3.7944	n/a	n/a	n/a	-12.9240	24.8266	9.8853	11.7091	n/a	n/a	n/a
13.0000	5.0000	-16.0391	14.6297	5.2151	6.5621	n/a	n/a	n/a	-13.9527	26.3076	10.3484	14.1313	n/a	n/a	n/a
14.0000	5.0000	-17.3981	17.2320	7.0320	8.9962	n/a	n/a	n/a	-15.5660	27.6946	11.1535	10.4720	n/a	n/a	n/a
15.0000	5.0000	-17.9129	18.4518	5.5352	9.2394	n/a	n/a	n/a	-16.1143	23.3730	12.3373	15.3527	n/a	n/a	n/a
