minute	BlindedCellType	Viafluo	Fluo4_spot1	Fluo4_spot2	Fluo4_spot3	B_actin_spot1	B_actin_spot2	B_actin_spot3	CONTROL_Viafluo	CONTROL_Fluo_4_spot1	CONTROL_Fluo_4_spot2	CONTROL_Fluo_4_spot3	CONTROL_B_actin_spot1	CONTROL_B_actin_spot2	CONTROL_B_actin_spot3
1.0000	5.0000	-3.0267	n/a	n/a	n/a	18.7055	19.5899	21.3622	-2.6859	n/a	n/a	n/a	27.4647	32.0611	31.1812
2.0000	5.0000	-4.3580	n/a	n/a	n/a	23.4600	24.5789	23.2051	-4.0196	n/a	n/a	n/a	36.2363	41.9024	37.8677
3.0000	5.0000	-5.3654	n/a	n/a	n/a	28.5243	32.1974	29.6175	-5.1669	n/a	n/a	n/a	46.9016	48.2025	44.7703
4.0000	5.0000	-6.8722	n/a	n/a	n/a	33.5842	40.6019	34.5656	-5.9664	n/a	n/a	n/a	50.3244	56.2565	51.0461
5.0000	5.0000	-8.1775	n/a	n/a	n/a	39.7072	43.9469	9.7077	-7.0020	n/a	n/a	n/a	55.1049	62.1151	56.4037
6.0000	5.0000	-9.5042	n/a	n/a	n/a	29.4830	26.1588	35.1371	-7.6283	n/a	n/a	n/a	59.3707	67.3345	59.9590
7.0000	5.0000	-10.8052	n/a	n/a	n/a	39.6083	47.4724	41.5768	-8.9064	n/a	n/a	n/a	62.3284	69.4600	69.9840
8.0000	5.0000	-11.6202	n/a	n/a	n/a	46.2036	51.6640	42.8086	-10.6353	n/a	n/a	n/a	66.8216	71.9611	72.2133
9.0000	5.0000	-12.5994	n/a	n/a	n/a	n/a	63.3488	59.4553	-10.3498	n/a	n/a	n/a	66.9198	75.6788	73.0591
10.0000	5.0000	-14.2874	n/a	n/a	n/a	61.1896	68.6521	65.5996	-11.2754	n/a	n/a	n/a	70.6352	79.3807	73.1897
11.0000	5.0000	-15.2137	n/a	n/a	n/a	64.6007	75.3814	66.8727	-12.4191	n/a	n/a	n/a	76.8613	78.3257	77.8235
12.0000	5.0000	-16.9185	n/a	n/a	n/a	70.6473	73.6801	63.3755	-13.0850	n/a	n/a	n/a	76.9114	82.7494	78.3432
13.0000	5.0000	-17.9559	n/a	n/a	n/a	75.0804	78.5819	70.1757	-14.3233	n/a	n/a	n/a	78.2301	85.6921	84.1575
14.0000	5.0000	-18.7664	n/a	n/a	n/a	78.6214	85.7242	75.3291	-14.7327	n/a	n/a	n/a	79.9938	84.4892	83.7095
15.0000	5.0000	-19.9326	n/a	n/a	n/a	77.7987	84.9280	70.1884	-15.5929	n/a	n/a	n/a	81.5443	90.3930	90.2720
