minute	BlindedCellType	Viafluo	Fluo4_spot1	Fluo4_spot2	Fluo4_spot3	B_actin_spot1	B_actin_spot2	B_actin_spot3	CONTROL_Viafluo	CONTROL_Fluo_4_spot1	CONTROL_Fluo_4_spot2	CONTROL_Fluo_4_spot3	CONTROL_B_actin_spot1	CONTROL_B_actin_spot2	CONTROL_B_actin_spot3
1.0000	5.0000	-2.5235	n/a	n/a	n/a	33.0831	34.6415	33.1025	0.6062	n/a	n/a	n/a	27.4647	32.0611	31.1812
2.0000	5.0000	-2.9674	n/a	n/a	n/a	45.8327	47.7197	43.3181	-0.8677	n/a	n/a	n/a	36.2363	41.9024	37.8677
3.0000	5.0000	-4.2547	n/a	n/a	n/a	55.1761	57.9194	55.7510	-0.7162	n/a	n/a	n/a	46.9016	48.2025	44.7703
4.0000	5.0000	-4.8702	n/a	n/a	n/a	62.9966	64.8645	62.7600	-2.1963	n/a	n/a	n/a	50.3244	56.2565	51.0461
5.0000	5.0000	-5.8157	n/a	n/a	n/a	67.3616	70.7187	71.0393	-2.7435	n/a	n/a	n/a	55.1049	62.1151	56.4037
6.0000	5.0000	-6.4238	n/a	n/a	n/a	66.2153	80.9647	78.5984	-3.9414	n/a	n/a	n/a	59.3707	67.3345	59.9590
7.0000	5.0000	-7.4982	n/a	n/a	n/a	82.1265	84.1657	84.0619	-4.9518	n/a	n/a	n/a	62.3284	69.4600	69.9840
8.0000	5.0000	-8.2378	n/a	n/a	n/a	83.6671	93.1156	87.8915	-5.2437	n/a	n/a	n/a	66.8216	71.9611	72.2133
9.0000	5.0000	-8.5862	n/a	n/a	n/a	92.5623	97.1696	93.5329	-6.3724	n/a	n/a	n/a	66.9198	75.6788	73.0591
10.0000	5.0000	-9.0774	n/a	n/a	n/a	99.2200	103.6753	96.8345	-7.0694	n/a	n/a	n/a	70.6352	79.3807	73.1897
11.0000	5.0000	-9.7868	n/a	n/a	n/a	106.9804	107.5473	104.4470	-7.7698	n/a	n/a	n/a	76.8613	78.3257	77.8235
12.0000	5.0000	-11.1148	n/a	n/a	n/a	108.5070	112.0304	111.7335	-8.6603	n/a	n/a	n/a	76.9114	82.7494	78.3432
13.0000	5.0000	-11.8197	n/a	n/a	n/a	107.4636	119.4599	114.6506	-9.0034	n/a	n/a	n/a	78.2301	85.6921	84.1575
14.0000	5.0000	-12.4834	n/a	n/a	n/a	113.0823	125.9412	121.7703	-9.5299	n/a	n/a	n/a	79.9938	84.4892	83.7095
15.0000	5.0000	-12.8128	n/a	n/a	n/a	115.6671	120.2581	125.5542	-10.4341	n/a	n/a	n/a	81.5443	90.3930	90.2720
