minute	BlindedCellType	Viafluo	Fluo4_spot1	Fluo4_spot2	Fluo4_spot3	B_actin_spot1	B_actin_spot2	B_actin_spot3	CONTROL_Viafluo	CONTROL_Fluo_4_spot1	CONTROL_Fluo_4_spot2	CONTROL_Fluo_4_spot3	CONTROL_B_actin_spot1	CONTROL_B_actin_spot2	CONTROL_B_actin_spot3
1.0000	5.0000	-4.4009	n/a	n/a	n/a	13.0274	11.9446	13.0161	-3.7674	n/a	n/a	n/a	15.0353	20.9033	15.3005
2.0000	5.0000	-5.8979	n/a	n/a	n/a	19.3421	20.1648	17.3659	-5.2332	n/a	n/a	n/a	14.1933	27.0966	19.5496
3.0000	5.0000	-7.7060	n/a	n/a	n/a	27.0682	22.2399	24.9586	-7.4150	n/a	n/a	n/a	8.8917	138.9025	136.0369
4.0000	5.0000	-9.6183	n/a	n/a	n/a	31.5710	30.2165	26.7773	-9.4124	n/a	n/a	n/a	25.5059	37.6039	31.9392
5.0000	5.0000	-11.8679	n/a	n/a	n/a	33.6099	22.3396	18.1307	-11.7684	n/a	n/a	n/a	35.1271	36.5147	34.6467
6.0000	5.0000	-13.9776	n/a	n/a	n/a	32.9114	30.2452	31.3188	-14.6599	n/a	n/a	n/a	32.4971	42.3913	37.1118
7.0000	5.0000	-16.1080	n/a	n/a	n/a	39.2479	35.7411	40.1574	-17.6568	n/a	n/a	n/a	37.5929	39.5277	39.9407
8.0000	5.0000	-18.6122	n/a	n/a	n/a	42.8294	37.9750	39.7818	-20.2378	n/a	n/a	n/a	37.1202	47.0469	37.8533
9.0000	5.0000	-21.1360	n/a	n/a	n/a	48.1361	41.8551	45.3480	-23.5299	n/a	n/a	n/a	37.2123	54.1527	40.6389
10.0000	5.0000	-23.2820	n/a	n/a	n/a	50.9691	48.4480	47.9507	-26.4742	n/a	n/a	n/a	39.9911	60.5259	38.7617
11.0000	5.0000	-25.8235	n/a	n/a	n/a	49.9628	45.1022	47.1056	-29.8722	n/a	n/a	n/a	47.6990	47.9225	43.2857
12.0000	5.0000	-28.2681	n/a	n/a	n/a	52.0546	48.5515	48.1729	-33.4050	n/a	n/a	n/a	45.1505	53.7419	47.2557
13.0000	5.0000	-31.0875	n/a	n/a	n/a	52.9441	50.3860	51.7695	-36.4624	n/a	n/a	n/a	49.5417	62.2432	47.3271
14.0000	5.0000	-33.7216	n/a	n/a	n/a	56.6450	55.9305	51.9675	-39.5276	n/a	n/a	n/a	47.3269	61.4475	50.6334
15.0000	5.0000	-36.5096	n/a	n/a	n/a	61.7684	57.9898	53.9852	-42.3560	n/a	n/a	n/a	48.1149	65.9873	49.2816
